name,address,lat,lng,types,osm_link,image_link,osm_type,osm_id
Stadion Gongseng Cijantung,Jalan Gongseng Raya,-6.3256158,106.8588921,"leisure:stadium, sport:soccer",https://www.openstreetmap.org/way/156007234,,way,156007234
GOR Bulutangkis,Jalan H. Muin,-6.322063,106.8630424,"leisure:sports_centre, sport:badminton",https://www.openstreetmap.org/way/156007263,,way,156007263
Lapangan Ingub Muara Angke,Jalan Muara Angke Raya,-6.108453,106.7727972,"leisure:pitch, sport:soccer",https://www.openstreetmap.org/way/156270929,,way,156270929
Lapangan Tenis RW 07,Jalan Taman Pluit Sakti I,-6.1206501,106.7861065,"leisure:pitch, sport:tennis",https://www.openstreetmap.org/way/156270931,,way,156270931
Sport Club Pantai Mutiara,,-6.1085456,106.7894542,"leisure:sports_centre, sport:multi",https://www.openstreetmap.org/way/156270999,,way,156270999
Lapangan Tenis Rawa Pandan,Jalan Rawa Pandan,-6.1763332,106.8038004,"leisure:pitch, sport:tennis",https://www.openstreetmap.org/way/156915090,,way,156915090
Lapangan Futsal Rawa Pandan,Jalan Rawa Pandan,-6.1759196,106.8037319,"leisure:pitch, sport:futsal",https://www.openstreetmap.org/way/156915106,,way,156915106
Lapangan Basket Rawa Pandan,Jalan Rawa Pandan,-6.1760046,106.8035926,"leisure:pitch, sport:basketball",https://www.openstreetmap.org/way/156915108,,way,156915108
Lapangan Futsal Pelangi,Jln Anggrek Garuda,-6.1913333,106.7959693,"leisure:pitch, sport:soccer",https://www.openstreetmap.org/way/156917676,,way,156917676
PBSI,Jalan Krendang Raya RT 002 RW 008,-6.1517385,106.804481,"leisure:sports_centre, sport:badminton",https://www.openstreetmap.org/way/156918687,,way,156918687
Lapangan Tenis KBU RW 05,Jalan Kamboja No.25,-6.1831328,106.8033176,"leisure:pitch, sport:tennis",https://www.openstreetmap.org/way/156919211,,way,156919211
Gelanggang Remaja Kecamatan Kebon Jeruk,Jalan HH,-6.1992006,106.764218,"leisure:sports_centre, sport:multi",https://www.openstreetmap.org/way/156921414,,way,156921414
Lapangan Tenis Komplek BI,Jalan Arjuna I A,-6.1863446,106.7885627,"leisure:pitch, sport:tennis",https://www.openstreetmap.org/way/156921627,,way,156921627
GOR Sasana Krida,Jalan Olahraga,-6.1874466,106.7904073,"leisure:sports_centre, sport:multi",https://www.openstreetmap.org/way/156921628,,way,156921628
GOR Kecamatan Grogol Petamburan,Jalan Tanjung Duren Barat IV,-6.177838,106.781076,"leisure:sports_centre, sport:multi",https://www.openstreetmap.org/way/156922052,,way,156922052
GOR Kecamatan Palmerah,Jalan Kemanggisan Pulo No 1,-6.1990769,106.7910663,"leisure:sports_centre, sport:multi",https://www.openstreetmap.org/way/156922431,,way,156922431
Kolam Renang Komplek Alfa Indah,,-6.220259,106.7511844,"leisure:swimming_pool, sport:swimming",https://www.openstreetmap.org/way/156924238,,way,156924238
Mega Kebon Jeruk,DKI Jakarta,-6.2169444,106.7469714,"leisure:sports_centre, sport:multi",https://www.openstreetmap.org/way/156924245,,way,156924245
Lapangan Tenis Komplek Departemen Agama,,-6.1551209,106.7612531,"leisure:pitch, sport:tennis",https://www.openstreetmap.org/way/156925869,,way,156925869
Lapangan Bulutangkis PBSI,Jalan Tubagus Angke,-6.1426958,106.7995256,"leisure:sports_centre, sport:badminton",https://www.openstreetmap.org/way/156926181,,way,156926181
GOR Kecamatan Pancoran,Jl. Pengadegan Timur 1,-6.2510874,106.8612481,sport:multi,https://www.openstreetmap.org/way/157344917,,way,157344917
Lapangan Tennis BGR,DKI Jakarta,-6.2461481,106.8468798,"leisure:pitch, sport:tennis",https://www.openstreetmap.org/way/157345080,,way,157345080
Lapangan Tennis Perumahan Sarinah,Pengadegan Utara,-6.2463725,106.8498195,"leisure:pitch, sport:tennis",https://www.openstreetmap.org/way/157345081,,way,157345081
Gelanggang Remaja Kecamatan Pasar Minggu,Jalan Raya Ragunan No.1 Jatipadang,-6.2847684,106.8373659,"leisure:sports_centre, sport:multi",https://www.openstreetmap.org/way/157348235,,way,157348235
Lapangan Sepak Bola Jagakarsa,Jalan Sirsak,-6.3363842,106.8192416,"leisure:pitch, sport:soccer",https://www.openstreetmap.org/way/157353689,,way,157353689
Lapangan Griya Mandiri,Jalan Pal Batu III,-6.227427,106.8415615,"leisure:pitch, sport:tennis",https://www.openstreetmap.org/way/157354629,,way,157354629
Lapangan Griya Mandiri,Jalan Rasamala,-6.2314822,106.8391327,"leisure:pitch, sport:tennis",https://www.openstreetmap.org/way/157354630,,way,157354630
Lapangan Tenis,Jalan Tabanas,-6.2395851,106.840778,"leisure:pitch, sport:tennis",https://www.openstreetmap.org/way/157354632,,way,157354632
Futon Sport Club,Jl. Kemajuan RW 04,-6.2421497,106.7531953,"leisure:sports_centre, sport:multi",https://www.openstreetmap.org/way/157354711,,way,157354711
LAPANGAN VOLI KELURAHAN,,-6.2241967,106.861406,"leisure:pitch, sport:volleyball",https://www.openstreetmap.org/way/157355114,,way,157355114
GOR Bulutangkis RW 08,Jalan Makmur RW 08,-6.2196957,106.8444882,"leisure:sports_centre, sport:badminton",https://www.openstreetmap.org/way/157357256,,way,157357256
Sanggar Senam Namarina,jalan halimun,-6.208477,106.832622,"leisure:sports_centre, sport:athletics",https://www.openstreetmap.org/way/157358547,,way,157358547
Lapangan Depen,,-6.250659,106.7557996,"leisure:pitch, sport:soccer",https://www.openstreetmap.org/way/157359436,,way,157359436
Lapangan futsal grande,Jalan Pedurenan Raya,-6.2202671,106.8289336,"leisure:pitch, sport:futsal",https://www.openstreetmap.org/way/157360959,,way,157360959
Futsal Koe,jl. pedurenan raya,-6.2218007,106.8217164,"leisure:pitch, sport:soccer",https://www.openstreetmap.org/way/157361057,,way,157361057
Lapangan Bola,Jalan Rawajati Timur III,-6.2601506,106.8558852,"leisure:pitch, sport:soccer",https://www.openstreetmap.org/way/157361124,,way,157361124
Taman Berdikari,Jalan Tebet Utara II,-6.2267052,106.8565049,"leisure:pitch, sport:badminton",https://www.openstreetmap.org/way/157362093,,way,157362093
Lapangan Stadion PSPT Tebet,"Jalan Tebet Timur Dalam Raya 73, Jakarta Selatan, 12820",-6.2359301,106.8563057,"leisure:pitch, sport:soccer",https://www.openstreetmap.org/way/157362099,,way,157362099
Lapangan Tebet Timur Dalam,Jalan Tebet Timur Dalam I B,-6.2310423,106.8537353,"leisure:pitch, sport:badminton",https://www.openstreetmap.org/way/157362124,,way,157362124
Lapangan Basket,Jalan Tebet Timur Dalam VIII N,-6.2395687,106.8573525,"leisure:pitch, sport:basketball",https://www.openstreetmap.org/way/157362125,,way,157362125
